"last_name","count"
"Baba","226"
"Gelosh","223"
"Coorg","223"
"Farris","222"
"Sudbeck","222"
"Adachi","221"
"Osgood","220"
"Masada","218"
"Neiman","218"
"Mandell","218"
"Wendorf","217"
"Boudaillier","217"
"Pettis","216"
"Cummings","216"
"Mahnke","216"
"Solares","216"
"Collette","215"
"Maksimenko","215"
"Kulisch","215"
"Emmart","215"
"Birjandi","215"
"Pokrovskii","214"
"Boguraev","214"
"Rosaz","214"
"Scallan","214"
"Siksek","213"
"Morrey","213"
"Stifter","213"
"Wolniewicz","213"
"Taubman","212"
"Herber","212"
"Rabehasaina","212"
"Pramanik","212"
"Peek","212"
"Garrabrants","212"
"Swen","212"
"Siepmann","212"
"Rajcani","212"
"Ventosa","211"
"Barriga","211"
"Kamber","211"
"Asser","211"
"Cangellaris","211"
"Kitsuregawa","211"
"Ghemri","211"
"Gente","211"
"Luce","210"
"Schaaf","210"
"Driscoll","210"
"Bolsens","210"
"Redmiles","210"
"Malabarba","209"
"Khasidashvili","209"
"Gerlach","209"
"Lunt","209"
"Zuberek","209"
"Lamparter","209"
"Gewali","209"
"Flowers","209"
"Serra","209"
"Chenney","209"
"Panienski","208"
"Lowrie","208"
"Jenevein","208"
"Gecsei","208"
"Aloia","208"
"Cesareni","208"
"Angelopoulos","207"
"Garnier","207"
"Lamba","207"
"Akazan","207"
"Hebert","206"
"Bondorf","206"
"Chimia","206"
"Braunmuhl","206"
"Gaughan","206"
"Foote","206"
"Duclos","206"
"Perng","206"
"Matzov","205"
"Onuegbe","205"
"Siprelle","205"
"Shimshoni","205"
"Garnham","205"
"Ecklund","205"
"Marakhovsky","205"
"Encarnacion","205"
"Geffroy","205"
"Lanphier","205"
"Ponthieu","205"
"Aamodt","205"
"Bennet","205"
"Panangaden","205"
"DeMori","205"
"Emden","205"
"Whitcomb","204"
"Coors","204"
"Legleitner","204"
"Shrader","204"
"Desikan","204"
"Linares","204"
"Alpin","204"
"Shiratori","204"
"Luders","204"
"Swick","204"
"Malinowski","204"
"Riexinger","204"
"Argence","204"
"Herbst","203"
"Penttonen","203"
"Feinberg","203"
"Tramer","203"
"Ghandeharizadeh","203"
"Ishibashi","203"
"Champarnaud","203"
"Kirkerud","203"
"Tetzlaff","203"
"Ramsay","203"
"Doering","203"
"Lorho","203"
"Conta","203"
"Yurek","202"
"Pews","202"
"Schapire","202"
"Schlegelmilch","202"
"Soicher","202"
"Kilgour","202"
"Kornyak","202"
"Lubachevsky","202"
"Biran","202"
"Karnin","202"
"Gihr","202"
"Thummel","202"
"Perez","201"
"Brodie","201"
"Krybus","201"
"Bernardeschi","201"
"Schusler","201"
"Stanfel","201"
"Erdi","201"
"Kavanagh","201"
"Albarhamtoshy","201"
"Pelc","201"
"Genther","201"
"Clouatre","201"
"Mukaidono","201"
"McConalogue","201"
"Morrow","201"
"Wynblatt","201"
"Kalorkoti","201"
"Rusterholz","201"
"Bahl","201"
"Rouquie","201"
"Taneja","201"
"Cooke","201"
"Fargier","200"
"Gulik","200"
"Hoppenstand","200"
"Lindenbaum","200"
"Taubenfeld","200"
"Bugrara","200"
"Pocchiola","200"
"Iwayama","200"
"Domenig","200"
"Pfau","200"
"Lamma","200"
"Mitzlaff","200"
"Nannarelli","200"
"Snedden","200"
"Kaelbling","200"
"Speek","200"
"Sgarro","200"
"Schreiter","200"
"Itzigehl","200"
"Auyong","200"
"Norsworthy","200"
"Otillio","200"
"Heystek","200"
"Hiroyama","200"
"Hammerschmidt","200"
"Dredge","200"
"McClurg","200"
"Rosch","200"
"Gimbel","200"
"Maraist","200"
"Radivojevic","200"
"Imataki","200"
"Shumilov","200"
"Beetstra","200"
"Kawashima","199"
"Gammage","199"
"Tiemann","199"
"Slobodova","199"
"Munawer","199"
"Maierhofer","199"
"Mawatari","199"
"Karner","199"
"Fortenbacher","199"
"Michaels","199"
"Sridhar","199"
"Neimat","199"
"Akaboshi","199"
"Speckmann","199"
"Servieres","199"
"Muchinsky","199"
"Hettesheimer","199"
"Rassart","199"
"Warwick","199"
"Skafidas","199"
"Hitomi","199"
"Curless","199"
"Brookner","199"
"Merks","199"
"Zaumen","199"
"Hofman","199"
"Bhattacharjee","198"
"Piveteau","198"
"Ghazalie","198"
"Matzen","198"
"Stanger","198"
"Hiyoshi","198"
"Vernadat","198"
"Vigier","198"
"Parveen","198"
"Bednarek","198"
"Pashtan","198"
"Lalonde","198"
"Khamsi","198"
"McFarlin","198"
"Picco","198"
"Schiper","198"
"Poupard","198"
"Landherr","198"
"Chinin","198"
"Zallocco","198"
